,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23385,Mexico,9,757217196,Stub,Purificación Carpinteyro Calderón,130.8,1077,0.000823394495412844,0.8356545961002786
23386,Mexico,9,757217211,Stub,Raquel Jiménez Cerrillo,130.8,1077,0.000823394495412844,0.8356545961002786
23387,Mexico,9,757217217,Stub,Rebeca Terán Guevara,130.8,1077,0.000823394495412844,0.8356545961002786
23388,Mexico,9,757217219,Stub,Regina Vázquez Saut,130.8,1077,0.000823394495412844,0.8356545961002786
23389,Mexico,9,757217221,Stub,Reyna Tirado Gálvez,130.8,1077,0.000823394495412844,0.8356545961002786
23390,Mexico,9,757217241,Stub,Rita María Esquivel Reyes,130.8,1077,0.000823394495412844,0.8356545961002786
23391,Mexico,9,757217247,Stub,Rocío Abreu Artiñano,130.8,1077,0.000823394495412844,0.8356545961002786
23392,Mexico,9,757217250,Stub,Rocío Morgan Franco,130.8,1077,0.000823394495412844,0.8356545961002786
23393,Mexico,9,757217255,Stub,Rocío Reza Gallegos,130.8,1077,0.000823394495412844,0.8356545961002786
23394,Mexico,9,757217257,Stub,Rodolfina Gatica Garzón,130.8,1077,0.000823394495412844,0.8356545961002786
23395,Mexico,9,757217264,Stub,Rosa Adriana Díaz,130.8,1077,0.000823394495412844,0.8356545961002786
23396,Mexico,9,757217267,Stub,Rosa Elba Pérez,130.8,1077,0.000823394495412844,0.8356545961002786
23397,Mexico,9,757217268,Stub,Rosa Elena Baduy Isaac,130.8,1077,0.000823394495412844,0.8356545961002786
23398,Mexico,9,757217269,Stub,Rosa Elena Galván Valles,130.8,1077,0.000823394495412844,0.8356545961002786
23399,Mexico,9,757217271,Stub,Rosa Elia Romero Guzmán,130.8,1077,0.000823394495412844,0.8356545961002786
23400,Mexico,9,757217277,Stub,Rosa Elva Soriano Sánchez,130.8,1077,0.000823394495412844,0.8356545961002786
23401,Mexico,9,757217282,Stub,Rosa María de la Garza,130.8,1077,0.000823394495412844,0.8356545961002786
23402,Mexico,9,757217284,Stub,Rosalba Gualito Castañeda,130.8,1077,0.000823394495412844,0.8356545961002786
23403,Mexico,9,757217287,Stub,Rosalina Mazari,130.8,1077,0.000823394495412844,0.8356545961002786
